step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
105,1.28,3.42,0.45,1.35,1.70,5.96,1.85,6.62,1.77,6.68,1.70,6.46,1.83,6.39,1.75,7.25,1.69,7.00,1.72,5.85,1.51,5.24,0.08,0.20,0.02,0.08
106,1.28,3.41,0.45,1.35,1.69,5.94,1.85,6.63,1.76,6.67,1.70,6.45,1.82,6.38,1.74,7.24,1.69,7.00,1.72,5.86,1.50,5.23,0.08,0.20,0.02,0.08
107,1.28,3.41,0.45,1.35,1.69,5.94,1.86,6.65,1.76,6.69,1.71,6.46,1.83,6.39,1.74,7.24,1.69,7.01,1.72,5.88,1.50,5.23,0.08,0.20,0.02,0.08
108,1.28,3.42,0.45,1.36,1.68,5.94,1.87,6.68,1.77,6.74,1.71,6.48,1.83,6.41,1.74,7.26,1.69,7.04,1.73,5.91,1.51,5.25,0.08,0.20,0.02,0.08
109,1.28,3.41,0.45,1.36,1.68,5.94,1.87,6.68,1.77,6.75,1.71,6.48,1.83,6.41,1.73,7.26,1.70,7.06,1.73,5.93,1.51,5.25,0.08,0.20,0.02,0.08
110,1.27,3.41,0.45,1.36,1.68,5.94,1.87,6.70,1.76,6.77,1.71,6.50,1.83,6.42,1.73,7.27,1.69,7.09,1.73,5.95,1.50,5.26,0.07,0.20,0.02,0.08
111,1.27,3.40,0.45,1.35,1.67,5.94,1.87,6.72,1.76,6.81,1.71,6.50,1.83,6.42,1.72,7.27,1.69,7.11,1.72,5.97,1.50,5.25,0.08,0.20,0.02,0.08
112,1.28,3.41,0.45,1.36,1.67,5.93,1.87,6.71,1.76,6.82,1.71,6.50,1.84,6.43,1.73,7.27,1.69,7.13,1.73,5.99,1.50,5.27,0.08,0.20,0.02,0.08
113,1.28,3.42,0.45,1.36,1.66,5.93,1.87,6.72,1.76,6.84,1.71,6.51,1.84,6.44,1.72,7.28,1.69,7.14,1.73,6.02,1.50,5.28,0.08,0.20,0.02,0.08
114,1.28,3.42,0.45,1.36,1.67,5.95,1.87,6.74,1.77,6.87,1.72,6.53,1.84,6.45,1.73,7.30,1.69,7.16,1.72,6.06,1.51,5.30,0.08,0.20,0.02,0.08
115,1.29,3.43,0.45,1.36,1.67,5.94,1.88,6.75,1.77,6.89,1.72,6.53,1.84,6.46,1.74,7.31,1.69,7.16,1.72,6.07,1.51,5.31,0.08,0.20,0.02,0.08
116,1.29,3.45,0.45,1.37,1.66,5.95,1.88,6.76,1.78,6.93,1.72,6.55,1.85,6.47,1.74,7.32,1.69,7.16,1.71,6.09,1.51,5.32,0.08,0.20,0.02,0.08
117,1.30,3.46,0.46,1.38,1.66,5.94,1.88,6.76,1.79,6.95,1.72,6.54,1.85,6.46,1.75,7.32,1.69,7.15,1.71,6.09,1.52,5.32,0.08,0.20,0.02,0.08
118,1.30,3.48,0.46,1.38,1.66,5.93,1.88,6.78,1.78,6.96,1.72,6.55,1.85,6.46,1.74,7.31,1.68,7.16,1.70,6.10,1.52,5.33,0.08,0.20,0.02,0.08
119,1.31,3.49,0.46,1.39,1.66,5.93,1.88,6.78,1.79,6.96,1.72,6.54,1.85,6.46,1.75,7.31,1.68,7.15,1.70,6.11,1.52,5.33,0.08,0.20,0.02,0.08
120,1.31,3.49,0.46,1.39,1.66,5.92,1.88,6.77,1.79,6.96,1.72,6.53,1.86,6.46,1.75,7.32,1.68,7.15,1.70,6.11,1.52,5.34,0.08,0.21,0.02,0.08
121,1.31,3.50,0.46,1.39,1.66,5.93,1.87,6.78,1.79,6.98,1.72,6.55,1.86,6.47,1.75,7.33,1.68,7.13,1.70,6.11,1.52,5.34,0.08,0.21,0.02,0.08
122,1.31,3.51,0.46,1.40,1.66,5.95,1.88,6.81,1.80,7.02,1.72,6.56,1.87,6.50,1.76,7.37,1.68,7.13,1.70,6.11,1.52,5.35,0.08,0.21,0.02,0.08
123,1.31,3.50,0.46,1.40,1.67,5.94,1.87,6.79,1.80,7.00,1.73,6.55,1.87,6.48,1.77,7.37,1.67,7.09,1.70,6.08,1.52,5.35,0.08,0.21,0.02,0.08
124,1.31,3.51,0.46,1.39,1.66,5.94,1.87,6.80,1.80,7.01,1.72,6.55,1.87,6.47,1.77,7.37,1.66,7.04,1.69,6.07,1.52,5.36,0.08,0.21,0.02,0.08
125,1.31,3.51,0.46,1.39,1.67,5.96,1.87,6.81,1.81,7.03,1.73,6.56,1.88,6.47,1.78,7.37,1.66,7.02,1.70,6.06,1.53,5.37,0.08,0.20,0.02,0.08
126,1.31,3.48,0.46,1.39,1.66,5.94,1.86,6.80,1.81,7.00,1.72,6.53,1.88,6.46,1.78,7.35,1.65,6.94,1.70,6.00,1.53,5.35,0.08,0.20,0.02,0.08
127,1.30,3.47,0.46,1.38,1.66,5.94,1.86,6.82,1.81,6.99,1.72,6.52,1.87,6.45,1.78,7.34,1.64,6.90,1.69,5.98,1.52,5.34,0.08,0.20,0.02,0.08
128,1.29,3.46,0.45,1.38,1.66,5.94,1.85,6.82,1.81,6.99,1.72,6.52,1.87,6.45,1.78,7.35,1.63,6.87,1.69,5.95,1.52,5.34,0.08,0.20,0.02,0.08
129,1.29,3.47,0.45,1.38,1.66,5.95,1.84,6.81,1.81,7.00,1.72,6.53,1.88,6.46,1.78,7.34,1.64,6.84,1.69,5.92,1.52,5.34,0.08,0.20,0.02,0.08
130,1.29,3.45,0.45,1.38,1.66,5.96,1.84,6.81,1.82,7.00,1.72,6.52,1.88,6.46,1.78,7.34,1.64,6.81,1.69,5.87,1.52,5.34,0.08,0.20,0.02,0.08
131,1.29,3.45,0.45,1.37,1.66,5.98,1.84,6.84,1.82,7.01,1.72,6.53,1.88,6.46,1.79,7.36,1.64,6.81,1.69,5.85,1.52,5.35,0.08,0.20,0.02,0.08
132,1.29,3.45,0.45,1.37,1.66,6.00,1.84,6.87,1.83,7.03,1.73,6.55,1.88,6.49,1.79,7.36,1.64,6.81,1.68,5.80,1.52,5.36,0.08,0.20,0.02,0.08
133,1.28,3.44,0.45,1.37,1.66,6.00,1.83,6.87,1.82,7.02,1.72,6.53,1.88,6.47,1.79,7.36,1.64,6.79,1.68,5.73,1.51,5.34,0.08,0.20,0.02,0.08
134,1.29,3.44,0.45,1.37,1.67,6.02,1.83,6.89,1.83,7.04,1.73,6.55,1.89,6.49,1.79,7.37,1.65,6.79,1.69,5.69,1.51,5.34,0.08,0.20,0.02,0.08
135,1.29,3.47,0.45,1.38,1.67,6.04,1.84,6.92,1.84,7.06,1.74,6.58,1.89,6.51,1.80,7.39,1.65,6.81,1.69,5.67,1.52,5.36,0.08,0.21,0.02,0.08
136,1.30,3.48,0.46,1.38,1.68,6.04,1.83,6.93,1.84,7.06,1.74,6.58,1.90,6.50,1.81,7.40,1.66,6.81,1.70,5.61,1.52,5.34,0.08,0.21,0.02,0.08
137,1.32,3.54,0.46,1.40,1.68,6.05,1.84,6.95,1.84,7.07,1.74,6.59,1.90,6.52,1.81,7.40,1.67,6.85,1.71,5.56,1.52,5.34,0.08,0.22,0.02,0.09
138,1.30,3.50,0.46,1.39,1.67,6.03,1.83,6.95,1.83,7.05,1.73,6.56,1.89,6.49,1.80,7.36,1.67,6.86,1.72,5.47,1.51,5.33,0.08,0.21,0.02,0.09
139,1.31,3.51,0.46,1.39,1.68,6.05,1.83,6.97,1.84,7.07,1.74,6.57,1.89,6.51,1.80,7.36,1.68,6.89,1.74,5.39,1.51,5.33,0.08,0.22,0.02,0.09
140,1.31,3.51,0.46,1.39,1.68,6.05,1.83,6.96,1.84,7.08,1.75,6.58,1.90,6.52,1.81,7.35,1.69,6.92,1.77,5.35,1.51,5.34,0.08,0.22,0.02,0.09
141,1.31,3.50,0.46,1.39,1.69,6.06,1.83,6.98,1.85,7.06,1.75,6.58,1.90,6.53,1.81,7.34,1.71,6.93,1.81,5.33,1.52,5.33,0.08,0.22,0.02,0.09
142,1.31,3.52,0.46,1.39,1.68,6.08,1.83,7.00,1.84,7.09,1.75,6.60,1.90,6.55,1.81,7.35,1.71,6.95,1.86,5.30,1.52,5.34,0.08,0.22,0.02,0.09
143,1.31,3.48,0.46,1.39,1.69,6.07,1.82,6.97,1.84,7.05,1.74,6.56,1.90,6.54,1.81,7.32,1.71,6.94,1.94,5.29,1.51,5.32,0.08,0.22,0.02,0.09
144,1.31,3.48,0.46,1.39,1.69,6.08,1.82,6.97,1.84,7.04,1.75,6.58,1.91,6.54,1.81,7.32,1.73,6.95,2.04,5.09,1.51,5.33,0.08,0.22,0.02,0.09
145,1.31,3.49,0.46,1.39,1.70,6.09,1.83,6.99,1.84,7.04,1.75,6.59,1.91,6.56,1.82,7.33,1.75,6.97,2.16,5.21,1.52,5.34,0.08,0.22,0.02,0.09
146,1.31,3.49,0.46,1.39,1.70,6.10,1.83,7.00,1.84,7.04,1.76,6.60,1.91,6.57,1.82,7.34,1.76,7.00,2.26,5.19,1.52,5.36,0.08,0.22,0.02,0.09
147,1.30,3.47,0.46,1.39,1.70,6.10,1.82,6.97,1.83,7.01,1.76,6.60,1.91,6.56,1.82,7.32,1.77,7.01,2.42,5.09,1.51,5.34,0.08,0.22,0.02,0.09
148,1.31,3.48,0.46,1.39,1.71,6.10,1.82,6.97,1.83,7.01,1.77,6.62,1.92,6.58,1.82,7.31,1.79,7.04,2.42,5.03,1.51,5.34,0.08,0.22,0.02,0.09
149,1.31,3.49,0.46,1.39,1.71,6.12,1.82,6.98,1.83,7.00,1.77,6.64,1.92,6.59,1.82,7.30,1.80,7.06,2.41,5.00,1.51,5.36,0.08,0.22,0.03,0.09
150,1.30,3.48,0.46,1.39,1.71,6.12,1.82,6.97,1.82,6.99,1.77,6.65,1.91,6.58,1.82,7.29,1.79,7.04,2.40,4.96,1.50,5.35,0.08,0.22,0.03,0.09
151,1.31,3.49,0.46,1.39,1.71,6.12,1.81,6.94,1.82,6.97,1.78,6.67,1.91,6.58,1.82,7.27,1.80,7.03,2.42,4.96,1.50,5.35,0.08,0.22,0.02,0.09
152,1.31,3.51,0.46,1.39,1.71,6.14,1.81,6.95,1.82,6.97,1.79,6.68,1.92,6.61,1.82,7.27,1.79,6.99,2.42,4.95,1.50,5.36,0.09,0.23,0.03,0.09
153,1.31,3.51,0.46,1.40,1.71,6.13,1.80,6.94,1.81,6.94,1.79,6.69,1.92,6.61,1.81,7.25,1.77,6.93,2.44,5.02,1.50,5.34,0.09,0.23,0.02,0.09
154,1.31,3.52,0.46,1.40,1.71,6.13,1.80,6.92,1.80,6.91,1.80,6.70,1.92,6.61,1.81,7.24,1.75,6.89,2.44,5.02,1.50,5.34,0.09,0.23,0.02,0.09
155,1.31,3.52,0.46,1.40,1.71,6.14,1.80,6.93,1.79,6.90,1.80,6.71,1.92,6.60,1.81,7.24,1.73,6.88,2.43,5.03,1.49,5.33,0.09,0.23,0.03,0.09
156,1.31,3.51,0.46,1.40,1.71,6.14,1.79,6.93,1.79,6.88,1.81,6.74,1.92,6.59,1.80,7.23,1.72,6.86,2.40,5.02,1.49,5.32,0.09,0.23,0.03,0.09
157,1.31,3.51,0.46,1.40,1.71,6.15,1.79,6.93,1.78,6.86,1.82,6.78,1.92,6.61,1.80,7.23,1.70,6.84,2.36,4.97,1.49,5.34,0.09,0.23,0.03,0.09
158,1.31,3.50,0.46,1.39,1.70,6.15,1.79,6.94,1.77,6.84,1.83,6.78,1.92,6.61,1.79,7.23,1.68,6.73,2.32,4.90,1.48,5.33,0.09,0.23,0.03,0.09
159,1.31,3.51,0.46,1.39,1.70,6.15,1.79,6.94,1.77,6.82,1.83,6.79,1.93,6.60,1.79,7.22,1.67,6.69,2.28,4.79,1.48,5.32,0.09,0.23,0.03,0.09
160,1.31,3.52,0.46,1.40,1.70,6.14,1.79,6.95,1.76,6.79,1.84,6.80,1.93,6.60,1.79,7.22,1.66,6.67,2.26,4.79,1.48,5.32,0.09,0.23,0.03,0.09
161,1.31,3.51,0.46,1.39,1.70,6.17,1.79,6.97,1.76,6.79,1.85,6.84,1.93,6.63,1.79,7.25,1.66,6.66,2.23,4.75,1.48,5.32,0.09,0.23,0.02,0.09
162,1.31,3.49,0.46,1.39,1.70,6.15,1.79,6.97,1.76,6.77,1.85,6.84,1.93,6.61,1.79,7.25,1.65,6.65,2.20,4.69,1.48,5.32,0.08,0.23,0.02,0.09
163,1.30,3.47,0.46,1.39,1.69,6.15,1.78,6.97,1.75,6.72,1.86,6.85,1.93,6.60,1.79,7.25,1.66,6.71,2.17,4.62,1.47,5.32,0.08,0.22,0.02,0.09
164,1.30,3.47,0.46,1.39,1.68,6.15,1.79,7.00,1.74,6.72,1.86,6.87,1.93,6.62,1.78,7.27,1.67,6.72,2.14,4.57,1.47,5.32,0.08,0.23,0.02,0.09
165,1.29,3.46,0.46,1.38,1.67,6.14,1.79,7.01,1.73,6.68,1.86,6.87,1.93,6.61,1.78,7.24,1.64,6.68,2.12,4.59,1.46,5.31,0.08,0.22,0.02,0.09
166,1.29,3.45,0.45,1.38,1.67,6.14,1.79,7.01,1.73,6.65,1.87,6.89,1.93,6.62,1.78,7.25,1.62,6.65,2.12,4.64,1.46,5.31,0.08,0.22,0.02,0.09
167,1.29,3.44,0.45,1.37,1.67,6.14,1.79,7.01,1.73,6.62,1.87,6.91,1.93,6.61,1.78,7.25,1.62,6.64,2.16,4.72,1.46,5.32,0.08,0.22,0.02,0.09
168,1.29,3.45,0.45,1.37,1.67,6.14,1.80,7.01,1.73,6.61,1.88,6.93,1.94,6.63,1.78,7.26,1.64,6.67,2.20,4.87,1.46,5.32,0.08,0.22,0.02,0.09
169,1.29,3.45,0.45,1.37,1.67,6.16,1.79,7.01,1.73,6.59,1.88,6.93,1.94,6.64,1.78,7.28,1.67,6.74,2.19,4.98,1.46,5.31,0.08,0.22,0.02,0.09
170,1.29,3.45,0.45,1.37,1.67,6.17,1.80,7.00,1.73,6.58,1.89,6.95,1.95,6.66,1.79,7.30,1.69,6.81,2.31,5.13,1.47,5.31,0.08,0.22,0.02,0.09
171,1.30,3.46,0.45,1.38,1.68,6.19,1.80,7.01,1.73,6.57,1.89,6.97,1.95,6.68,1.80,7.33,1.71,6.86,2.44,5.34,1.47,5.32,0.08,0.22,0.02,0.09
172,1.30,3.49,0.46,1.39,1.69,6.22,1.80,7.01,1.73,6.56,1.90,6.99,1.96,6.71,1.81,7.36,1.72,6.90,2.58,5.53,1.47,5.33,0.09,0.23,0.02,0.09
173,1.30,3.48,0.46,1.39,1.70,6.22,1.81,7.01,1.73,6.53,1.90,6.99,1.97,6.73,1.81,7.36,1.73,6.97,2.47,5.36,1.48,5.33,0.09,0.23,0.02,0.09
174,1.31,3.51,0.46,1.39,1.70,6.24,1.81,7.03,1.73,6.52,1.91,7.01,1.98,6.75,1.82,7.38,1.75,7.10,2.40,5.25,1.48,5.35,0.09,0.23,0.02,0.09
175,1.31,3.51,0.46,1.40,1.70,6.24,1.82,7.04,1.73,6.51,1.91,7.03,1.98,6.76,1.82,7.40,1.77,7.16,2.26,5.22,1.48,5.34,0.09,0.23,0.03,0.09
176,1.31,3.51,0.46,1.40,1.70,6.25,1.82,7.05,1.73,6.49,1.91,7.05,1.98,6.77,1.81,7.40,1.76,7.21,2.25,5.23,1.48,5.34,0.09,0.23,0.02,0.09
177,1.31,3.50,0.46,1.40,1.70,6.25,1.82,7.04,1.73,6.45,1.91,7.06,1.98,6.77,1.81,7.40,1.76,7.22,2.13,5.33,1.48,5.33,0.08,0.22,0.02,0.09
178,1.30,3.49,0.45,1.39,1.70,6.26,1.82,7.04,1.73,6.43,1.92,7.09,1.98,6.78,1.80,7.39,1.75,7.24,2.08,5.48,1.47,5.33,0.08,0.22,0.02,0.09
179,1.30,3.48,0.45,1.39,1.70,6.28,1.82,7.04,1.73,6.41,1.92,7.12,1.98,6.79,1.80,7.39,1.75,7.27,2.07,5.71,1.47,5.32,0.08,0.21,0.02,0.09
180,1.30,3.47,0.45,1.38,1.70,6.29,1.82,7.05,1.73,6.38,1.92,7.13,1.98,6.79,1.80,7.39,1.74,7.27,2.09,5.89,1.47,5.32,0.08,0.21,0.02,0.09
181,1.30,3.47,0.45,1.38,1.71,6.31,1.82,7.06,1.73,6.35,1.92,7.15,1.98,6.80,1.79,7.39,1.73,7.27,2.10,6.12,1.46,5.32,0.08,0.21,0.02,0.09
182,1.30,3.49,0.46,1.39,1.71,6.35,1.82,7.07,1.73,6.35,1.93,7.17,1.98,6.83,1.80,7.42,1.73,7.26,2.10,6.39,1.46,5.32,0.08,0.21,0.02,0.09
183,1.30,3.48,0.46,1.39,1.72,6.36,1.82,7.06,1.73,6.31,1.92,7.16,1.98,6.83,1.79,7.41,1.70,7.18,2.05,6.45,1.46,5.31,0.08,0.21,0.02,0.09
184,1.30,3.47,0.45,1.39,1.72,6.37,1.82,7.04,1.73,6.29,1.92,7.16,1.98,6.83,1.79,7.41,1.69,7.12,1.99,6.52,1.46,5.31,0.08,0.21,0.02,0.09
185,1.30,3.47,0.45,1.39,1.72,6.39,1.82,7.03,1.74,6.28,1.92,7.16,1.98,6.85,1.79,7.42,1.68,7.07,1.93,6.51,1.46,5.32,0.08,0.21,0.02,0.09
186,1.30,3.47,0.45,1.38,1.73,6.40,1.82,7.02,1.74,6.27,1.92,7.16,1.98,6.86,1.79,7.41,1.69,7.03,1.89,6.69,1.46,5.33,0.08,0.21,0.02,0.09
187,1.30,3.47,0.45,1.39,1.73,6.41,1.82,7.02,1.74,6.25,1.92,7.15,1.98,6.86,1.79,7.40,1.71,6.99,1.89,6.93,1.46,5.32,0.08,0.21,0.02,0.09
188,1.29,3.46,0.45,1.38,1.72,6.41,1.82,7.02,1.74,6.23,1.91,7.15,1.97,6.85,1.79,7.39,1.70,6.94,1.84,7.13,1.45,5.33,0.08,0.21,0.02,0.08
189,1.29,3.46,0.45,1.38,1.73,6.41,1.82,7.00,1.74,6.22,1.91,7.14,1.98,6.85,1.79,7.37,1.71,6.83,1.83,7.39,1.45,5.33,0.08,0.21,0.02,0.08
190,1.29,3.45,0.45,1.38,1.73,6.42,1.82,7.01,1.75,6.23,1.91,7.15,1.98,6.87,1.79,7.37,1.71,6.77,1.80,7.66,1.46,5.33,0.08,0.21,0.02,0.08
191,1.28,3.43,0.45,1.37,1.72,6.40,1.83,7.00,1.75,6.21,1.90,7.12,1.97,6.85,1.79,7.33,1.70,6.64,1.78,7.79,1.46,5.32,0.08,0.20,0.02,0.08
192,1.28,3.43,0.45,1.37,1.73,6.42,1.83,7.00,1.76,6.22,1.90,7.12,1.98,6.86,1.80,7.35,1.71,6.58,1.80,8.24,1.46,5.32,0.08,0.20,0.02,0.08
193,1.28,3.42,0.45,1.36,1.73,6.41,1.84,6.98,1.76,6.21,1.89,7.10,1.97,6.85,1.79,7.34,1.70,6.44,1.78,8.40,1.46,5.32,0.07,0.20,0.02,0.08
194,1.28,3.41,0.45,1.36,1.73,6.42,1.84,6.99,1.76,6.22,1.89,7.10,1.97,6.86,1.80,7.34,1.71,6.35,1.79,8.59,1.46,5.33,0.07,0.20,0.02,0.08
195,1.28,3.40,0.45,1.36,1.73,6.41,1.84,6.98,1.76,6.21,1.89,7.08,1.97,6.85,1.80,7.33,1.71,6.31,1.77,8.72,1.46,5.33,0.07,0.19,0.02,0.08
196,1.28,3.40,0.45,1.36,1.74,6.40,1.85,6.98,1.77,6.22,1.89,7.08,1.98,6.86,1.80,7.32,1.72,6.33,1.75,8.93,1.46,5.33,0.07,0.20,0.02,0.08
197,1.27,3.37,0.45,1.35,1.73,6.37,1.85,6.96,1.77,6.20,1.88,7.06,1.97,6.85,1.80,7.30,1.72,6.33,1.78,9.23,1.46,5.32,0.07,0.19,0.02,0.08
198,1.26,3.35,0.45,1.34,1.73,6.36,1.85,6.95,1.77,6.20,1.88,7.04,1.97,6.84,1.80,7.29,1.71,6.35,1.77,9.54,1.46,5.32,0.07,0.19,0.02,0.08
199,1.26,3.35,0.45,1.34,1.74,6.35,1.86,6.94,1.77,6.20,1.88,7.04,1.98,6.86,1.81,7.30,1.72,6.45,1.82,9.94,1.46,5.32,0.07,0.19,0.02,0.08
200,1.26,3.35,0.45,1.34,1.74,6.34,1.86,6.93,1.78,6.21,1.88,7.05,1.97,6.87,1.81,7.31,1.72,6.45,1.79,9.91,1.47,5.33,0.07,0.19,0.02,0.08
201,1.26,3.36,0.45,1.34,1.74,6.32,1.86,6.92,1.78,6.21,1.87,7.05,1.97,6.86,1.81,7.32,1.69,6.45,1.81,10.06,1.47,5.33,0.07,0.19,0.02,0.08
202,1.26,3.35,0.45,1.34,1.74,6.30,1.86,6.90,1.78,6.21,1.87,7.03,1.97,6.84,1.82,7.31,1.67,6.43,1.82,10.20,1.47,5.32,0.07,0.19,0.02,0.08
203,1.26,3.34,0.45,1.34,1.74,6.29,1.86,6.89,1.78,6.22,1.88,7.04,1.97,6.84,1.82,7.32,1.67,6.48,1.86,10.42,1.47,5.32,0.07,0.19,0.02,0.08
204,1.25,3.32,0.45,1.33,1.75,6.29,1.86,6.87,1.79,6.22,1.88,7.05,1.97,6.83,1.83,7.32,1.67,6.56,1.91,10.65,1.47,5.31,0.07,0.19,0.02,0.08
205,1.25,3.33,0.45,1.33,1.75,6.28,1.86,6.86,1.78,6.21,1.88,7.05,1.96,6.81,1.82,7.31,1.70,6.68,1.90,10.70,1.47,5.31,0.07,0.19,0.02,0.08
206,1.25,3.32,0.45,1.33,1.75,6.29,1.86,6.86,1.79,6.23,1.88,7.06,1.96,6.80,1.83,7.33,1.71,6.76,1.91,10.89,1.47,5.29,0.07,0.19,0.02,0.08
207,1.25,3.35,0.45,1.33,1.76,6.30,1.86,6.86,1.79,6.26,1.89,7.08,1.96,6.79,1.83,7.34,1.73,6.85,1.93,11.08,1.47,5.31,0.07,0.19,0.02,0.08
208,1.26,3.34,0.45,1.34,1.76,6.29,1.86,6.85,1.80,6.27,1.89,7.08,1.95,6.77,1.83,7.33,1.72,6.88,1.97,11.23,1.48,5.30,0.07,0.19,0.02,0.08
209,1.25,3.32,0.45,1.33,1.76,6.30,1.86,6.86,1.79,6.28,1.89,7.06,1.94,6.75,1.83,7.34,1.72,6.94,2.00,11.32,1.47,5.29,0.07,0.19,0.02,0.08
210,1.25,3.31,0.45,1.33,1.77,6.28,1.86,6.85,1.80,6.28,1.89,7.06,1.94,6.72,1.83,7.34,1.74,6.95,2.02,11.28,1.48,5.28,0.07,0.19,0.02,0.08
211,1.25,3.32,0.45,1.33,1.77,6.28,1.87,6.85,1.80,6.29,1.90,7.07,1.94,6.71,1.84,7.34,1.75,6.96,2.05,11.22,1.48,5.28,0.07,0.19,0.02,0.08
212,1.25,3.32,0.45,1.33,1.77,6.29,1.87,6.86,1.80,6.31,1.90,7.07,1.93,6.70,1.84,7.34,1.78,7.07,2.06,11.14,1.48,5.28,0.07,0.19,0.02,0.08
213,1.24,3.31,0.45,1.33,1.77,6.29,1.88,6.88,1.80,6.31,1.90,7.07,1.93,6.71,1.84,7.34,1.79,7.09,2.07,11.06,1.48,5.28,0.07,0.19,0.02,0.08
214,1.25,3.30,0.45,1.33,1.78,6.28,1.89,6.89,1.80,6.33,1.91,7.06,1.94,6.70,1.85,7.34,1.81,7.06,2.05,10.88,1.49,5.27,0.07,0.19,0.02,0.08
215,1.25,3.30,0.45,1.33,1.78,6.28,1.89,6.91,1.80,6.35,1.91,7.05,1.94,6.70,1.85,7.36,1.80,7.04,2.02,10.64,1.49,5.27,0.07,0.19,0.02,0.08
216,1.25,3.30,0.45,1.32,1.78,6.28,1.90,6.94,1.80,6.36,1.92,7.05,1.94,6.69,1.85,7.35,1.81,7.02,1.98,10.30,1.49,5.26,0.07,0.19,0.02,0.08
217,1.25,3.31,0.45,1.33,1.79,6.29,1.91,6.97,1.80,6.37,1.92,7.05,1.94,6.70,1.86,7.36,1.82,7.02,1.95,10.01,1.49,5.26,0.07,0.20,0.02,0.08
218,1.25,3.30,0.45,1.33,1.78,6.26,1.91,6.98,1.79,6.35,1.92,7.04,1.94,6.69,1.86,7.34,1.80,6.93,1.91,9.69,1.49,5.24,0.07,0.20,0.02,0.08
219,1.25,3.33,0.45,1.33,1.78,6.26,1.92,7.01,1.80,6.38,1.93,7.05,1.94,6.69,1.86,7.34,1.78,6.82,1.88,9.40,1.49,5.25,0.07,0.20,0.02,0.08
220,1.26,3.33,0.45,1.34,1.79,6.26,1.93,7.04,1.80,6.41,1.93,7.06,1.95,6.69,1.87,7.35,1.76,6.74,1.84,9.13,1.49,5.25,0.07,0.20,0.02,0.08
221,1.26,3.34,0.45,1.34,1.79,6.27,1.94,7.07,1.80,6.43,1.93,7.08,1.94,6.69,1.87,7.36,1.75,6.72,1.80,8.82,1.49,5.25,0.07,0.20,0.02,0.08
222,1.25,3.32,0.45,1.33,1.78,6.25,1.94,7.09,1.80,6.42,1.94,7.07,1.94,6.67,1.87,7.34,1.76,6.69,1.74,8.50,1.49,5.23,0.07,0.19,0.02,0.08
223,1.25,3.32,0.45,1.33,1.78,6.24,1.95,7.13,1.79,6.44,1.94,7.08,1.93,6.67,1.87,7.35,1.78,6.70,1.70,8.17,1.49,5.24,0.07,0.20,0.02,0.08
224,1.25,3.32,0.45,1.33,1.78,6.24,1.97,7.16,1.80,6.46,1.94,7.09,1.94,6.67,1.88,7.36,1.76,6.64,1.65,7.82,1.49,5.23,0.07,0.19,0.02,0.08
225,1.26,3.34,0.45,1.34,1.79,6.25,1.98,7.20,1.80,6.50,1.95,7.12,1.94,6.68,1.88,7.39,1.76,6.59,1.60,7.44,1.50,5.25,0.07,0.19,0.02,0.08
226,1.26,3.34,0.45,1.34,1.79,6.27,1.99,7.24,1.81,6.53,1.96,7.15,1.95,6.70,1.89,7.40,1.76,6.58,1.55,7.10,1.50,5.25,0.07,0.19,0.02,0.08
227,1.26,3.36,0.46,1.34,1.80,6.28,2.00,7.28,1.82,6.56,1.96,7.19,1.95,6.72,1.89,7.42,1.77,6.59,1.51,6.73,1.50,5.25,0.07,0.19,0.02,0.08
228,1.27,3.36,0.46,1.35,1.80,6.29,2.01,7.30,1.82,6.58,1.97,7.20,1.95,6.73,1.90,7.44,1.76,6.61,1.47,6.37,1.51,5.25,0.07,0.20,0.02,0.08
229,1.27,3.36,0.46,1.35,1.80,6.29,2.02,7.33,1.82,6.59,1.97,7.22,1.95,6.74,1.90,7.44,1.76,6.60,1.43,6.00,1.50,5.25,0.07,0.20,0.02,0.08
230,1.27,3.36,0.46,1.35,1.80,6.30,2.03,7.35,1.83,6.60,1.97,7.24,1.96,6.75,1.91,7.44,1.76,6.58,1.41,5.66,1.50,5.24,0.07,0.20,0.02,0.08
231,1.27,3.38,0.46,1.35,1.81,6.32,2.04,7.38,1.83,6.62,1.98,7.27,1.96,6.76,1.92,7.47,1.75,6.59,1.38,5.31,1.51,5.25,0.07,0.20,0.02,0.08
232,1.28,3.38,0.46,1.35,1.81,6.34,2.05,7.42,1.84,6.64,1.99,7.29,1.96,6.77,1.93,7.49,1.76,6.66,1.37,5.02,1.51,5.25,0.07,0.20,0.02,0.08
