step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
26,1.23,3.29,0.44,1.31,1.58,6.17,1.67,6.32,1.65,6.29,1.69,6.50,1.79,7.04,1.64,7.34,1.57,6.70,1.47,5.25,1.40,5.21,0.08,0.21,0.02,0.08
27,1.23,3.28,0.44,1.30,1.58,6.18,1.67,6.32,1.65,6.30,1.70,6.51,1.80,7.05,1.64,7.36,1.57,6.69,1.47,5.24,1.40,5.21,0.08,0.20,0.02,0.08
28,1.23,3.29,0.44,1.31,1.58,6.17,1.66,6.31,1.65,6.30,1.70,6.52,1.79,7.04,1.64,7.35,1.56,6.67,1.48,5.23,1.40,5.22,0.08,0.20,0.02,0.08
29,1.23,3.29,0.43,1.31,1.58,6.17,1.66,6.30,1.65,6.29,1.70,6.51,1.79,7.03,1.63,7.32,1.56,6.65,1.48,5.21,1.40,5.21,0.08,0.20,0.02,0.08
30,1.23,3.31,0.43,1.30,1.59,6.19,1.67,6.32,1.65,6.32,1.71,6.53,1.80,7.04,1.64,7.34,1.57,6.66,1.49,5.23,1.41,5.23,0.08,0.20,0.02,0.08
31,1.23,3.31,0.44,1.31,1.59,6.18,1.67,6.31,1.65,6.31,1.71,6.52,1.80,7.03,1.64,7.34,1.57,6.64,1.49,5.22,1.41,5.22,0.08,0.20,0.02,0.08
32,1.23,3.31,0.43,1.31,1.59,6.18,1.67,6.32,1.65,6.33,1.72,6.54,1.79,7.04,1.64,7.35,1.57,6.63,1.49,5.23,1.41,5.23,0.08,0.20,0.02,0.08
33,1.23,3.31,0.43,1.31,1.59,6.18,1.66,6.32,1.65,6.33,1.72,6.54,1.79,7.04,1.64,7.34,1.57,6.61,1.49,5.23,1.40,5.22,0.07,0.19,0.02,0.08
34,1.23,3.32,0.43,1.31,1.59,6.17,1.67,6.31,1.64,6.32,1.72,6.53,1.79,7.02,1.64,7.33,1.57,6.59,1.49,5.23,1.40,5.21,0.07,0.19,0.02,0.08
35,1.24,3.32,0.43,1.31,1.59,6.16,1.67,6.31,1.64,6.32,1.72,6.53,1.79,7.00,1.64,7.33,1.57,6.59,1.50,5.22,1.40,5.21,0.07,0.19,0.02,0.08
36,1.23,3.32,0.43,1.31,1.60,6.16,1.67,6.32,1.64,6.33,1.73,6.53,1.78,6.99,1.64,7.34,1.57,6.59,1.50,5.23,1.40,5.21,0.07,0.19,0.02,0.08
